"id","house_id","city_name","rooms","cost","tweet_id","c_counter"
5,1543522,"Oviedo",3,1441,"1354138217075900426",1
4,426126,"Ibiza",1,442,"1354136326183014406",0
7,1007632,"Oviedo",5,1469,"1354142250368978944",0
8,808333,"Ibiza",2,1410,"1354144644846780426",0
10,760284,"Madrid",2,631,"1354148426083164162",0
11,1689042,"Valencia",1,1420,"1354151071879454723",0
12,393608,"Valencia",1,480,"1354153465975615490",0
13,1034103,"Oviedo",5,1011,"1354155105008971776",0
16,1557242,"Valencia",3,1073,"1354162539525902337",0
17,74975,"Ibiza",1,732,"1354164933722824706",0
18,863168,"Ibiza",5,1180,"1354167327621869570",0
19,1020339,"Oviedo",4,542,"1354169470261088262",0
20,600285,"Bilbao",1,1480,"1354171361317556224",0
21,345714,"Madrid",1,1458,"1354173252126568449",0
22,126810,"Oviedo",2,1334,"1354175143111700482",0
23,1062837,"Madrid",2,1094,"1354177285436436481",0
24,775541,"Sevilla",5,1183,"1354179679704526848",0
25,1648762,"Oviedo",1,491,"1354181822171721728",0
26,137794,"Bilbao",4,817,"1354183209936965632",0
27,1977734,"Sevilla",4,1140,"1354185100376813570",0
28,1167427,"Oviedo",2,458,"1354185481039306754",0
29,1403037,"Oviedo",5,1277,"1354187623301054464",0
31,2029990,"Madrid",4,437,"1354191152812068864",0
33,949526,"Ibiza",2,526,"1354194179497340929",0
34,316257,"Oviedo",4,491,"1354196573647941634",0
35,1113417,"Oviedo",3,1280,"1354198212937179141",0
36,461492,"Bilbao",3,949,"1354200858582544391",0
37,1435097,"Barcelona",3,959,"1354203504206864385",0
38,1713523,"Ibiza",2,508,"1354205395078807558",0
39,618582,"Ibiza",3,426,"1354207537378304001",0
40,1623168,"Sevilla",4,763,"1354209176524873730",0
41,890459,"Valencia",1,409,"1354209556952461317",0
42,1088404,"Barcelona",4,1165,"1354210944092692481",0
43,377759,"Valencia",2,1475,"1354213086262132738",0
44,1027050,"Madrid",3,614,"1354215480437911554",0
45,1391289,"Barcelona",2,1396,"1354217119429353474",0
46,99430,"Bilbao",3,1382,"1354218507039338499",0
47,1369036,"Valencia",1,1361,"1354219894284431363",0
48,1990257,"Oviedo",5,885,"1354221281269448705",0
49,644556,"Valencia",3,996,"1354223926625370113",0
50,1089481,"Ibiza",1,1043,"1354225565709066242",0
51,1878212,"Valencia",1,540,"1354227204620767234",0
52,2075679,"Madrid",3,898,"1354229347012530176",0
53,31692,"Valencia",2,776,"1354231740924100608",0
54,786320,"Valencia",3,905,"1354233631837986816",0
55,881990,"Bilbao",3,787,"1354236277160292355",0
56,259209,"Barcelona",2,465,"1354237664644521990",0
57,479774,"Valencia",1,694,"1354239303447146496",0
